date,code,title,price,market_cap,number_of_investors,number_of_shares
2019-09-23,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.175174,8308114.9,298.0,7069690.0
2019-09-24,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.193278,8495457.53,295.0,7119429.0
2019-09-25,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.185895,8384648.81,288.0,7070313.0
2019-09-26,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.194965,8071310.58,287.0,6754434.0
2019-09-27,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.181067,7889599.61,285.0,6680062.0
2019-09-30,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.166136,7958747.86,285.0,6824889.0
2019-10-01,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.162563,7934363.95,281.0,6824889.0
2019-10-02,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.143791,7821999.24,275.0,6838663.0
2019-10-03,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.169536,7990763.71,278.0,6832421.0
2019-10-04,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.175936,8542009.53,282.0,7264011.0
2019-10-07,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.180189,8666295.72,278.0,7343143.0
2019-10-08,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.180188,8564057.26,272.0,7256520.0
2019-10-09,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.200173,7893966.8,267.0,6577360.0
2019-10-10,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.208224,7835528.98,267.0,6485161.0
2019-10-11,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.217123,7670780.66,268.0,6302389.0
2019-10-14,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.197346,7881111.55,272.0,6582148.0
2019-10-15,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.210959,7970321.19,274.0,6581826.0
2019-10-16,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.213029,8001528.54,271.0,6596321.0
2019-10-17,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.202141,8183833.32,281.0,6807714.0
2019-10-18,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.201786,8854057.91,288.0,7367414.0
2019-10-21,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.185448,9066932.68,284.0,7648526.0
2019-10-22,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.194691,8677327.7,283.0,7263239.0
2019-10-23,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.196284,8952631.86,281.0,7483700.0
2019-10-23,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.196284,8952631.86,281.0,7483700.0
2019-10-24,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.18949,9138658.26,282.0,7682837.0
2019-10-25,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.184165,9538367.07,282.0,8054928.0
2019-10-28,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.199426,8765927.55,280.0,7308435.0
2019-10-30,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.199426,8610624.79,282.0,7178956.0
2019-10-31,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.180309,8189225.78,283.0,6938205.0
2019-11-01,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.189306,8178964.71,290.0,6877090.0
2019-11-04,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.197183,8582447.4,293.0,7168870.0
2019-11-05,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.184154,8546696.93,300.0,7217553.0
2019-11-06,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.187322,8867956.7,303.0,7468875.0
2019-11-07,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.181377,8592319.66,300.0,7273139.0
2019-11-08,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.179522,8684026.93,290.0,7362329.0
2019-11-11,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.171095,9111404.81,288.0,7780241.0
2019-11-12,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.174312,9222273.13,287.0,7853344.0
2019-11-13,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.165957,9595277.55,287.0,8229532.0
2019-11-14,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.170991,9942053.98,285.0,8490290.0
2019-11-15,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.1707,9881325.46,287.0,8440531.0
2019-11-18,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.170741,10022311.5,284.0,8560655.0
2019-11-19,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.16302,9759946.04,278.0,8391900.0
2019-11-20,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.166946,9690345.27,278.0,8304020.0
2019-11-21,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.169579,9715957.28,277.0,8307227.0
2019-11-22,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.162935,9612219.24,274.0,8265484.0
2019-11-22,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.162935,9612219.24,274.0,8265484.0
2019-11-25,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.163537,9474653.04,273.0,8142976.0
2019-11-26,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.162307,9565327.01,272.0,8229607.0
2019-11-27,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.16605,9652593.61,273.0,8278030.0
2019-11-28,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.168389,9712808.26,267.0,8312994.0
2019-11-29,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.160479,9592984.38,266.0,8266402.0
2019-12-02,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.163913,9644440.1,269.0,8286220.0
2019-12-04,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.167352,10423441.32,269.0,8929134.0
2019-12-05,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.17771,10635799.78,268.0,9030915.0
2019-12-06,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.173127,10597536.3,271.0,9033578.0
